?,?,?,?,?,?,?,12.6,NW,?,0:00,01.10.1844
?,?,?,?,?,?,?,11.3,NW,?,1:00,01.10.1844
?,?,?,?,?,?,?,18,NE,?,2:00,01.10.1844
?,?,?,?,?,?,?,9.2,NE,?,3:00,01.10.1844
?,?,?,?,?,?,?,6.3,NE,?,4:00,01.10.1844
?,?,?,?,?,?,?,4,NE,?,5:00,01.10.1844
?,?,?,?,?,?,?,6.1,E,?,6:00,01.10.1844
?,?,?,?,?,?,?,3.3,NE,?,7:00,01.10.1844
?,?,?,?,?,?,?,7.8,NE,?,8:00,01.10.1844
?,?,?,?,?,?,?,8.1,NW,?,9:00,01.10.1844
?,?,?,?,?,?,?,8.3,NW,?,10:00,01.10.1844
?,?,?,?,?,?,?,8,NW,?,11:00,01.10.1844
?,?,?,?,?,?,?,8.6,NW,?,12:00,01.10.1844
?,?,?,?,?,?,?,8.2,NW,?,13:00,01.10.1844
?,?,?,?,?,?,?,6.2,SW,?,14:00,01.10.1844
?,?,?,?,?,?,?,2.9,SW,?,15:00,01.10.1844
?,?,?,?,?,?,?,8.3,S,?,16:00,01.10.1844
?,?,?,?,?,?,?,13.9,SW,?,17:00,01.10.1844
?,?,?,?,?,?,?,6,SW,?,18:00,01.10.1844
?,?,?,?,?,?,?,7.8,NW,?,19:00,01.10.1844
?,?,?,?,?,?,?,12.2,NW,?,20:00,01.10.1844
?,?,?,?,?,?,?,16,S,?,21:00,01.10.1844
?,?,?,?,?,?,?,13,SW,?,22:00,01.10.1844
?,?,?,?,?,?,?,11,S,?,23:00,01.10.1844
